sale_id,store_id,customer_id,employee_id,sale_date,total_amount
1,22,10,6,2024-01-01,705.72
2,22,4,2,2024-01-02,188.4
3,15,6,10,2024-01-03,2857.35
4,5,3,4,2024-01-04,2294.26
5,5,1,1,2024-01-05,1868.5
6,17,9,9,2024-01-06,2946.62
7,10,4,3,2024-01-07,1370.37
8,6,2,2,2024-01-08,3452.81
9,13,2,3,2024-01-09,1186.75
10,17,4,9,2024-01-10,2997.67
11,32,5,9,2024-01-11,3872.97
12,2,10,3,2024-01-12,2575.62
13,23,10,3,2024-01-13,2646.43
14,19,10,6,2024-01-14,1068.49
15,12,7,8,2024-01-15,4631.29
16,29,1,9,2024-01-16,2142.76
17,28,6,6,2024-01-17,3402.15
18,12,1,9,2024-01-18,3225.41
19,12,9,7,2024-01-19,984.0
20,9,5,10,2024-01-20,4779.33
21,13,8,2,2024-01-21,1759.73
22,31,7,4,2024-01-22,2425.02
23,12,7,5,2024-01-23,1872.62
24,26,4,2,2024-01-24,272.95
25,18,9,1,2024-01-25,3173.64
26,16,5,3,2024-01-26,4444.06
27,25,8,5,2024-01-27,521.91
28,11,8,9,2024-01-28,3021.09
29,27,5,6,2024-01-29,1024.21
30,17,7,5,2024-01-30,210.6
31,5,8,7,2024-01-31,1160.81
32,23,5,10,2024-02-01,2665.09
33,27,2,1,2024-02-02,3777.5
34,23,5,10,2024-02-03,2051.9
35,23,7,3,2024-02-04,3162.71
36,19,4,6,2024-02-05,4601.61
37,32,9,6,2024-02-06,2348.42
38,1,9,10,2024-02-07,621.46
39,9,3,7,2024-02-08,3887.4
40,24,3,8,2024-02-09,1420.53
41,14,5,1,2024-02-10,972.47
42,17,7,10,2024-02-11,2504.63
43,16,6,8,2024-02-12,3264.63
44,9,4,6,2024-02-13,1544.85
45,34,1,10,2024-02-14,1985.41
46,25,2,2,2024-02-15,3306.32
47,17,5,7,2024-02-16,2132.31
48,13,2,6,2024-02-17,4723.41
49,34,10,4,2024-02-18,4190.41
50,7,9,1,2024-02-19,2091.53
51,28,2,8,2024-02-20,1408.96
52,29,1,6,2024-02-21,335.87
53,23,8,10,2024-02-22,2156.21
54,17,1,5,2024-02-23,167.11
55,3,1,9,2024-02-24,576.25
56,4,10,10,2024-02-25,1923.17
57,26,8,9,2024-02-26,3739.82
58,33,10,5,2024-02-27,127.63
59,32,4,10,2024-02-28,1648.75
60,22,3,8,2024-02-29,3928.6
61,32,3,5,2024-03-01,203.26
62,8,4,4,2024-03-02,1091.77
63,26,1,4,2024-03-03,4046.13
64,33,6,6,2024-03-04,2547.8
65,18,3,8,2024-03-05,1872.5
66,4,10,3,2024-03-06,1179.18
67,28,2,4,2024-03-07,2642.95
68,15,4,6,2024-03-08,3199.93
69,2,9,6,2024-03-09,1388.18
70,10,9,7,2024-03-10,898.16
71,30,6,1,2024-03-11,78.18
72,6,4,9,2024-03-12,2039.97
73,7,5,7,2024-03-13,1916.03
74,11,6,9,2024-03-14,4525.67
75,33,2,7,2024-03-15,4881.9
76,35,5,6,2024-03-16,2175.14
77,16,1,1,2024-03-17,675.43
78,29,5,6,2024-03-18,2480.71
79,1,8,7,2024-03-19,1547.59
80,24,4,6,2024-03-20,1842.7
81,17,7,9,2024-03-21,1386.89
82,10,4,7,2024-03-22,2546.14
83,24,2,8,2024-03-23,3092.76
84,29,3,7,2024-03-24,1140.73
85,12,10,10,2024-03-25,978.24
86,13,3,6,2024-03-26,3313.25
87,35,4,10,2024-03-27,3692.58
88,11,6,8,2024-03-28,2819.57
89,28,6,1,2024-03-29,1973.74
90,25,4,7,2024-03-30,3025.99
91,4,8,7,2024-03-31,2865.93
92,31,9,9,2024-04-01,4664.1
93,30,5,1,2024-04-02,1722.7
94,24,10,8,2024-04-03,1830.78
95,35,4,1,2024-04-04,815.64
96,17,9,6,2024-04-05,4301.99
97,31,7,7,2024-04-06,1828.69
98,14,1,9,2024-04-07,2320.62
99,7,7,2,2024-04-08,2815.72
100,12,2,1,2024-04-09,2432.63
101,26,2,6,2024-04-10,797.49
102,34,6,1,2024-04-11,465.19
103,31,7,6,2024-04-12,3228.77
104,5,6,5,2024-04-13,1591.59
105,19,9,6,2024-04-14,4480.7
106,23,10,1,2024-04-15,2830.8
107,16,5,6,2024-04-16,3102.61
108,15,4,4,2024-04-17,2702.1
109,33,4,4,2024-04-18,3981.49
110,6,9,10,2024-04-19,1278.05
111,12,3,7,2024-04-20,1624.88
112,10,9,3,2024-04-21,4425.86
113,25,2,2,2024-04-22,3229.48
114,30,4,9,2024-04-23,369.21
115,13,8,1,2024-04-24,73.51
116,16,1,6,2024-04-25,4134.69
117,5,10,9,2024-04-26,1756.09
118,33,1,8,2024-04-27,3827.2
119,1,7,6,2024-04-28,453.0
120,23,10,10,2024-04-29,1047.75
121,30,1,7,2024-04-30,1481.67
122,24,7,4,2024-05-01,1478.44
123,7,7,3,2024-05-02,2563.91
124,13,3,1,2024-05-03,4590.14
125,3,6,8,2024-05-04,3002.58
126,22,7,8,2024-05-05,2322.59
127,35,5,8,2024-05-06,831.87
128,33,5,9,2024-05-07,1286.36
129,22,4,1,2024-05-08,3726.43
130,2,6,9,2024-05-09,2964.71
131,15,8,4,2024-05-10,3046.24
132,34,9,1,2024-05-11,1076.49
133,21,1,1,2024-05-12,2395.14
134,11,1,7,2024-05-13,1763.28
135,29,3,10,2024-05-14,4253.87
136,29,8,9,2024-05-15,2420.61
137,11,2,7,2024-05-16,465.46
138,34,5,7,2024-05-17,3964.17
139,31,2,6,2024-05-18,2065.13
140,35,8,8,2024-05-19,2002.97
141,21,7,10,2024-05-20,3618.32
142,33,7,2,2024-05-21,4356.26
143,6,1,8,2024-05-22,3016.52
144,27,5,7,2024-05-23,853.18
145,10,7,9,2024-05-24,3306.07
146,14,6,9,2024-05-25,2091.67
147,32,6,8,2024-05-26,3992.63
148,30,1,1,2024-05-27,1099.44
149,8,9,5,2024-05-28,4535.18
150,22,8,6,2024-05-29,2091.65
151,5,10,6,2024-05-30,2401.68
152,6,5,5,2024-05-31,4648.88
153,8,5,2,2024-06-01,869.31
154,34,9,9,2024-06-02,2671.2
155,20,2,5,2024-06-03,4042.86
156,4,9,5,2024-06-04,2860.07
157,20,8,9,2024-06-05,1276.35
158,16,2,1,2024-06-06,1820.38
159,28,7,10,2024-06-07,4372.9
160,17,2,3,2024-06-08,4603.94
161,32,8,6,2024-06-09,4542.02
162,22,2,4,2024-06-10,4441.81
163,17,5,7,2024-06-11,2804.0
164,17,5,10,2024-06-12,4585.92
165,4,8,3,2024-06-13,2870.92
166,1,3,4,2024-06-14,2324.58
167,23,2,8,2024-06-15,126.42
168,32,9,4,2024-06-16,1789.77
169,26,7,5,2024-06-17,4555.75
170,20,2,4,2024-06-18,2496.45
171,3,10,9,2024-06-19,3649.72
172,19,4,10,2024-06-20,274.5
173,15,4,10,2024-06-21,2290.34
174,22,5,10,2024-06-22,1363.4
175,2,3,4,2024-06-23,4173.36
176,18,6,3,2024-06-24,3142.44
177,25,4,1,2024-06-25,1257.95
178,10,2,7,2024-06-26,902.57
179,12,9,1,2024-06-27,786.38
180,13,10,4,2024-06-28,1362.78
181,31,2,6,2024-06-29,2440.61
182,23,1,10,2024-06-30,98.96
183,18,1,1,2024-07-01,4795.42
184,18,1,4,2024-07-02,703.04
185,1,2,10,2024-07-03,2435.25
186,19,6,6,2024-07-04,4613.84
187,22,10,6,2024-07-05,4961.2
188,27,6,6,2024-07-06,4038.41
189,32,1,2,2024-07-07,2168.82
190,34,1,1,2024-07-08,2492.75
191,19,4,7,2024-07-09,3160.77
192,18,8,6,2024-07-10,3705.55
193,12,8,3,2024-07-11,4896.72
194,10,4,8,2024-07-12,3376.35
195,1,6,9,2024-07-13,1652.81
196,16,7,9,2024-07-14,1739.8
197,33,4,6,2024-07-15,2838.77
198,14,10,2,2024-07-16,2740.09
199,34,4,2,2024-07-17,4377.96
200,28,8,5,2024-07-18,2914.19
201,33,3,10,2024-07-19,2201.17
202,15,8,5,2024-07-20,3746.54
203,17,2,2,2024-07-21,2689.29
204,7,10,8,2024-07-22,2411.37
205,3,7,6,2024-07-23,54.02
206,12,5,8,2024-07-24,3041.04
207,24,4,4,2024-07-25,4632.55
208,21,7,8,2024-07-26,470.19
209,25,3,5,2024-07-27,2837.76
210,23,6,8,2024-07-28,3386.29
211,24,4,5,2024-07-29,2212.44
212,11,5,6,2024-07-30,4782.75
213,20,9,2,2024-07-31,4102.51
214,24,10,10,2024-08-01,80.3
215,15,2,4,2024-08-02,3811.22
216,23,7,1,2024-08-03,1540.74
217,6,9,1,2024-08-04,4332.03
218,14,3,1,2024-08-05,220.71
219,31,4,5,2024-08-06,864.64
220,21,7,2,2024-08-07,500.98
221,2,4,6,2024-08-08,2089.0
222,6,8,3,2024-08-09,3961.11
223,8,8,4,2024-08-10,740.98
224,30,3,1,2024-08-11,818.93
225,13,7,7,2024-08-12,2090.33
226,3,8,6,2024-08-13,3301.65
227,32,2,1,2024-08-14,3438.52
228,22,4,4,2024-08-15,301.12
229,25,4,5,2024-08-16,1077.17
230,28,7,9,2024-08-17,2192.52
231,25,6,2,2024-08-18,3076.14
232,22,3,2,2024-08-19,4761.51
233,16,4,4,2024-08-20,4965.92
234,23,8,2,2024-08-21,3004.52
235,25,7,7,2024-08-22,3237.7
236,17,5,4,2024-08-23,4586.54
237,14,1,3,2024-08-24,2447.52
238,8,4,7,2024-08-25,3777.02
239,11,2,7,2024-08-26,3040.05
240,4,1,10,2024-08-27,4196.98
241,29,10,8,2024-08-28,3313.66
242,17,3,8,2024-08-29,3602.01
243,22,9,1,2024-08-30,3478.06
244,3,8,2,2024-08-31,1170.31
245,1,2,3,2024-09-01,4034.19
246,21,5,6,2024-09-02,2604.28
247,11,7,5,2024-09-03,4987.6
248,16,6,9,2024-09-04,4138.53
249,30,1,8,2024-09-05,3328.57
250,24,10,2,2024-09-06,2111.08
251,24,3,2,2024-09-07,3570.05
252,1,10,6,2024-09-08,1552.97
253,30,3,5,2024-09-09,2312.29
254,2,2,5,2024-09-10,3522.97
255,10,1,8,2024-09-11,982.63
256,6,4,4,2024-09-12,3352.75
257,6,7,5,2024-09-13,2350.22
258,27,7,10,2024-09-14,4118.68
259,27,9,4,2024-09-15,1851.51
260,26,2,1,2024-09-16,2759.46
261,27,7,1,2024-09-17,852.42
262,31,7,6,2024-09-18,4155.5
263,14,4,4,2024-09-19,3944.32
264,21,3,4,2024-09-20,2327.34
265,16,7,6,2024-09-21,3153.34
266,1,3,10,2024-09-22,1446.91
267,24,3,5,2024-09-23,1025.09
268,15,6,9,2024-09-24,4335.97
269,2,10,1,2024-09-25,3021.81
270,20,5,4,2024-09-26,3421.55
271,21,1,1,2024-09-27,4384.81
272,9,4,4,2024-09-28,4175.38
273,23,8,9,2024-09-29,2775.96
274,25,3,9,2024-09-30,4197.36
275,28,4,2,2024-10-01,1627.39
276,30,5,3,2024-10-02,927.55
277,11,2,8,2024-10-03,2129.3
278,4,5,10,2024-10-04,1322.4
279,35,6,9,2024-10-05,2558.23
280,21,3,5,2024-10-06,1629.38
281,9,6,6,2024-10-07,4281.48
282,12,2,10,2024-10-08,2851.02
283,33,7,6,2024-10-09,1532.09
284,14,2,8,2024-10-10,646.87
285,2,10,5,2024-10-11,3886.18
286,18,7,8,2024-10-12,465.22
287,17,3,4,2024-10-13,884.37
288,5,2,2,2024-10-14,2512.78
289,14,5,3,2024-10-15,1889.82
290,21,3,3,2024-10-16,3459.18
291,20,4,5,2024-10-17,159.0
292,3,8,1,2024-10-18,4492.08
293,13,7,1,2024-10-19,4030.43
294,26,1,1,2024-10-20,4210.91
295,1,7,7,2024-10-21,3844.6
296,17,4,2,2024-10-22,3207.18
297,17,4,8,2024-10-23,789.91
298,2,8,6,2024-10-24,4861.54
299,33,8,8,2024-10-25,3022.12
300,19,9,1,2024-10-26,4041.7
301,14,10,7,2024-10-27,3836.89
302,12,1,3,2024-10-28,2635.43
303,35,7,5,2024-10-29,2820.2
304,26,1,9,2024-10-30,1252.48
305,10,8,4,2024-10-31,1765.88
306,35,10,5,2024-11-01,4592.96
307,15,10,10,2024-11-02,1136.44
308,32,4,5,2024-11-03,2709.86
309,10,5,8,2024-11-04,3629.76
310,6,1,10,2024-11-05,624.76
311,8,7,6,2024-11-06,328.58
312,1,5,3,2024-11-07,1483.27
313,31,1,1,2024-11-08,3432.2
314,27,2,10,2024-11-09,1664.69
315,14,3,10,2024-11-10,2716.42
316,31,6,8,2024-11-11,259.59
317,10,3,3,2024-11-12,3647.55
318,35,2,9,2024-11-13,98.96
319,13,9,9,2024-11-14,2519.86
320,10,6,3,2024-11-15,150.76
321,7,1,4,2024-11-16,988.42
322,31,3,1,2024-11-17,4237.66
323,5,9,9,2024-11-18,3908.2
324,12,8,1,2024-11-19,3296.42
325,23,10,5,2024-11-20,4159.98
326,22,2,1,2024-11-21,4605.25
327,26,4,3,2024-11-22,3019.5
328,8,4,10,2024-11-23,184.54
329,21,8,1,2024-11-24,2548.9
330,18,5,4,2024-11-25,3674.46
331,23,6,8,2024-11-26,3723.17
332,6,1,2,2024-11-27,3461.81
333,30,10,7,2024-11-28,2377.88
334,7,3,7,2024-11-29,1814.22
335,17,4,8,2024-11-30,4725.96
336,11,2,3,2024-12-01,725.74
337,28,3,8,2024-12-02,1695.71
338,33,10,10,2024-12-03,1361.19
339,30,10,1,2024-12-04,1487.84
340,20,3,3,2024-12-05,903.86
341,28,3,3,2024-12-06,3183.73
342,14,10,9,2024-12-07,1450.28
343,31,1,6,2024-12-08,3392.02
344,4,3,10,2024-12-09,1284.32
345,4,1,7,2024-12-10,3475.29
346,17,2,9,2024-12-11,3519.93
347,28,9,6,2024-12-12,2559.66
348,35,7,2,2024-12-13,4963.18
349,21,7,1,2024-12-14,1464.07
350,26,9,5,2024-12-15,3477.41
351,18,9,5,2024-12-16,4830.14
352,26,2,9,2024-12-17,4898.99
353,24,4,7,2024-12-18,3166.71
354,26,9,5,2024-12-19,4001.91
355,8,8,10,2024-12-20,4122.93
356,2,5,1,2024-12-21,1013.85
357,10,10,1,2024-12-22,3954.19
358,23,6,9,2024-12-23,775.22
359,10,1,3,2024-12-24,1067.23
360,20,8,6,2024-12-25,1717.81
361,11,5,10,2024-12-26,3514.04
362,24,5,1,2024-12-27,3862.82
363,9,7,2,2024-12-28,277.71
364,8,6,10,2024-12-29,357.3
365,4,9,8,2024-12-30,3864.68
366,3,2,6,2024-12-31,1313.92
367,3,7,6,2024-01-01,268.87
368,12,4,10,2024-01-02,119.43
369,34,8,1,2024-01-03,3021.19
370,28,2,8,2024-01-04,169.87
371,8,3,8,2024-01-05,2325.64
372,2,1,4,2024-01-06,2080.88
373,12,7,6,2024-01-07,2111.44
374,19,5,2,2024-01-08,302.61
375,2,9,10,2024-01-09,209.02
376,32,8,7,2024-01-10,88.59
377,3,9,3,2024-01-11,219.34
378,21,10,5,2024-01-12,2311.12
379,33,1,7,2024-01-13,1093.57
380,10,9,1,2024-01-14,825.73
381,30,3,2,2024-01-15,2276.06
382,25,4,3,2024-01-16,947.76
383,32,1,10,2024-01-17,91.59
384,33,2,9,2024-01-18,518.08
385,32,2,9,2024-01-19,2258.62
386,13,3,4,2024-01-20,4831.07
387,17,6,7,2024-01-21,941.82
388,20,9,5,2024-01-22,3439.45
389,4,5,9,2024-01-23,367.09
390,11,1,3,2024-01-24,1232.93
391,33,2,3,2024-01-25,3835.68
392,25,3,5,2024-01-26,1736.16
393,29,1,7,2024-01-27,1262.74
394,30,7,9,2024-01-28,1553.7
395,20,1,6,2024-01-29,4465.25
396,10,9,5,2024-01-30,3180.31
397,25,10,9,2024-01-31,2743.85
398,30,6,6,2024-02-01,357.6
399,15,10,9,2024-02-02,1152.43
400,33,9,6,2024-02-03,397.01
401,9,9,6,2024-02-04,4795.36
402,5,7,10,2024-02-05,1963.07
403,5,1,2,2024-02-06,1139.92
404,16,5,2,2024-02-07,1477.8
405,7,7,7,2024-02-08,4926.01
406,14,1,5,2024-02-09,655.86
407,34,5,1,2024-02-10,1068.51
408,16,10,10,2024-02-11,3702.58
409,29,10,4,2024-02-12,4014.47
410,31,9,5,2024-02-13,4120.71
411,14,5,10,2024-02-14,958.56
412,21,4,8,2024-02-15,1648.21
